# Interacting fermions with random potentials (interaction = pair hopping)
# L=16, t=1,
# Mean gap ratio for middle Z/3 levels averaged over 4000 realizations.
# W V <r>
1.000000000000000000e+00 1.000000000000000000e+00 5.309255453857302243e-01
1.000000000000000000e+00 2.000000000000000000e+00 5.309404642539500285e-01
1.000000000000000000e+00 3.000000000000000000e+00 5.306173436258000420e-01
1.000000000000000000e+00 4.000000000000000000e+00 5.307580697588500929e-01
1.000000000000000000e+00 5.000000000000000000e+00 5.291724729406498406e-01
1.000000000000000000e+00 6.000000000000000000e+00 5.271001690506500470e-01
1.000000000000000000e+00 7.000000000000000000e+00 5.252630204813499848e-01
1.000000000000000000e+00 8.000000000000000000e+00 5.233319426051999956e-01
1.000000000000000000e+00 9.000000000000000000e+00 5.215738353271999195e-01
1.000000000000000000e+00 1.000000000000000000e+01 5.194843327563499757e-01
1.000000000000000000e+00 1.200000000000000000e+01 5.144929624770500087e-01
1.000000000000000000e+00 1.400000000000000000e+01 5.092245002634000484e-01
1.000000000000000000e+00 1.600000000000000000e+01 5.051523377442000973e-01
1.000000000000000000e+00 2.000000000000000000e+01 5.012797155838499830e-01
2.000000000000000000e+00 1.000000000000000000e+00 5.303654724791727615e-01
2.000000000000000000e+00 2.000000000000000000e+00 5.305814954145501305e-01
2.000000000000000000e+00 3.000000000000000000e+00 5.306453419545249517e-01
2.000000000000000000e+00 4.000000000000000000e+00 5.306084958059750223e-01
2.000000000000000000e+00 5.000000000000000000e+00 5.300134079693500366e-01
2.000000000000000000e+00 6.000000000000000000e+00 5.295123741611250656e-01
2.000000000000000000e+00 7.000000000000000000e+00 5.275058485942499820e-01
2.000000000000000000e+00 8.000000000000000000e+00 5.250799218984000261e-01
2.000000000000000000e+00 9.000000000000000000e+00 5.235167457811500391e-01
2.000000000000000000e+00 1.000000000000000000e+01 5.216609453428500132e-01
2.000000000000000000e+00 1.200000000000000000e+01 5.197491962524999343e-01
2.000000000000000000e+00 1.400000000000000000e+01 5.172276919670000250e-01
2.000000000000000000e+00 1.600000000000000000e+01 5.144898540315498980e-01
2.000000000000000000e+00 2.000000000000000000e+01 5.081746204065500372e-01
3.000000000000000000e+00 1.000000000000000000e+00 5.277305297253864769e-01
3.000000000000000000e+00 2.000000000000000000e+00 5.306172894007999963e-01
3.000000000000000000e+00 3.000000000000000000e+00 5.306022969511750009e-01
3.000000000000000000e+00 4.000000000000000000e+00 5.300096443163500037e-01
3.000000000000000000e+00 5.000000000000000000e+00 5.301481253110249536e-01
3.000000000000000000e+00 6.000000000000000000e+00 5.281943130628499183e-01
3.000000000000000000e+00 7.000000000000000000e+00 5.264013980098000145e-01
3.000000000000000000e+00 8.000000000000000000e+00 5.226889015827000939e-01
3.000000000000000000e+00 9.000000000000000000e+00 5.204382214393499240e-01
3.000000000000000000e+00 1.000000000000000000e+01 5.182803220852999493e-01
3.000000000000000000e+00 1.200000000000000000e+01 5.147175516015499719e-01
3.000000000000000000e+00 1.400000000000000000e+01 5.118652955297999796e-01
3.000000000000000000e+00 1.600000000000000000e+01 5.095969040865500066e-01
3.000000000000000000e+00 2.000000000000000000e+01 5.046298761207500538e-01
4.000000000000000000e+00 1.000000000000000000e+00 5.082116920009667194e-01
4.000000000000000000e+00 2.000000000000000000e+00 5.290882247140500372e-01
4.000000000000000000e+00 3.000000000000000000e+00 5.304711651340499046e-01
4.000000000000000000e+00 4.000000000000000000e+00 5.301590620639999862e-01
4.000000000000000000e+00 5.000000000000000000e+00 5.286884653478749474e-01
4.000000000000000000e+00 6.000000000000000000e+00 5.266680156447001160e-01
4.000000000000000000e+00 7.000000000000000000e+00 5.231921157862999827e-01
4.000000000000000000e+00 8.000000000000000000e+00 5.190637783120000126e-01
4.000000000000000000e+00 9.000000000000000000e+00 5.141997431308500399e-01
4.000000000000000000e+00 1.000000000000000000e+01 5.102122712984999975e-01
4.000000000000000000e+00 1.200000000000000000e+01 5.048022080416000312e-01
4.000000000000000000e+00 1.400000000000000000e+01 5.015845965667500295e-01
4.000000000000000000e+00 1.600000000000000000e+01 4.987481886391000319e-01
4.000000000000000000e+00 2.000000000000000000e+01 4.943219462674500186e-01
5.000000000000000000e+00 1.000000000000000000e+00 4.763552969576334006e-01
5.000000000000000000e+00 2.000000000000000000e+00 5.198744206235749177e-01
5.000000000000000000e+00 3.000000000000000000e+00 5.270269843274749677e-01
5.000000000000000000e+00 4.000000000000000000e+00 5.275617835227500718e-01
5.000000000000000000e+00 5.000000000000000000e+00 5.262914213225250437e-01
5.000000000000000000e+00 6.000000000000000000e+00 5.237183924494499543e-01
5.000000000000000000e+00 7.000000000000000000e+00 5.190417434530499863e-01
5.000000000000000000e+00 8.000000000000000000e+00 5.141609792221499831e-01
5.000000000000000000e+00 9.000000000000000000e+00 5.075706603933999306e-01
5.000000000000000000e+00 1.000000000000000000e+01 5.021624881866999512e-01
5.000000000000000000e+00 1.200000000000000000e+01 4.943675417034999464e-01
5.000000000000000000e+00 1.400000000000000000e+01 4.895711329772499676e-01
5.000000000000000000e+00 1.600000000000000000e+01 4.851312694917500057e-01
5.000000000000000000e+00 2.000000000000000000e+01 4.804818978357499604e-01
